rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,19,18.000000,true,565,0.807823,true,17310,10.540000,false,220.03250122070313,-0.000148,true,0.8862000107765198,0.067158,true,345,18.166667,true,127,2.628571,true,24,11.000000,,,,13,,0
1,2,true,27,26.000000,true,548,0.812969,true,17628,10.752000,true,218.4315948486328,0.007129,true,0.886900007724762,0.066421,true,282,14.666667,true,121,2.457143,true,29,13.500000,,,,11,,0
1,3,true,33,32.000000,true,57,0.832353,true,17093,10.395333,false,221.65809631347656,-0.007537,true,0.8866999745368958,0.066632,true,373,19.722222,true,113,2.228571,true,41,19.500000,,,,9,,0
2,1,true,17,16.000000,true,59,0.821212,true,13522,8.014667,true,214.85060119628906,0.023406,true,0.8835999965667725,0.069895,true,432,23.000000,true,114,2.257143,true,32,15.000000,,,,12,,0
2,2,true,21,20.000000,true,528,0.798473,true,17378,10.585333,false,225.41119384765625,-0.024596,true,0.8852999806404114,0.068105,true,369,19.500000,true,111,2.171429,true,30,14.000000,,,,12,,0
2,3,true,28,27.000000,true,62,0.806250,true,16036,9.690667,false,221.52870178222656,-0.006949,true,0.8838000297546387,0.069684,true,319,16.722222,true,89,1.542857,true,40,19.000000,,,,11,,0
3,1,true,19,18.000000,true,575,0.858722,true,16700,10.133333,true,218.03269958496094,0.008942,true,0.8844000101089478,0.069053,true,340,17.888889,true,95,1.714286,true,32,15.000000,,,,15,,0
3,2,true,30,29.000000,true,54,0.850000,true,16664,10.109333,false,222.6116943359375,-0.011871,true,0.8851000070571899,0.068316,true,361,19.055556,true,73,1.085714,true,31,14.500000,,,,13,,0
3,3,true,33,32.000000,true,62,0.812121,true,15744,9.496000,false,223.0955047607422,-0.014070,true,0.8823999762535095,0.071158,true,310,16.222222,true,83,1.371429,true,42,20.000000,,,,10,,0
4,1,true,24,23.000000,true,536,0.842815,true,15976,9.650667,true,216.49249267578125,0.015943,true,0.883400022983551,0.070105,true,429,22.833333,true,133,2.800000,true,27,12.500000,,,,14,,0
4,2,true,25,24.000000,true,66,0.772414,true,15179,9.119333,false,224.0211944580078,-0.018278,true,0.8824999928474426,0.071053,true,335,17.611111,true,93,1.657143,true,27,12.500000,,,,9,,0
4,3,false,0,-1.000000,true,67,0.802941,true,3978,1.652000,false,229.1383056640625,-0.041538,true,0.8838000297546387,0.069684,true,294,15.333333,true,102,1.914286,false,0,-1.000000,9196,grazers,eaten,4,10376,0
5,1,true,22,21.000000,true,555,0.837719,true,17217,10.478000,false,221.3863067626953,-0.006301,true,0.8852999806404114,0.068105,true,341,17.944444,true,77,1.200000,true,34,16.000000,,,,13,,0
5,2,false,0,-1.000000,true,69,0.813514,false,0,-1.000000,false,227.0906982421875,-0.032230,true,0.8845999836921692,0.068842,true,374,19.777778,true,111,2.171429,false,0,-1.000000,6540,grazers,eaten,0,7840,0
5,3,true,33,32.000000,true,53,0.844118,true,13731,8.154000,false,225.61920166015625,-0.025542,true,0.8866000175476074,0.066737,true,402,21.333333,true,123,2.514286,true,41,19.500000,,,,8,,0
