rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,23,22.000000,true,47,0.848387,true,17466,10.644000,true,197.35850524902344,0.102916,true,0.8762999773025513,0.077579,true,404,21.444444,true,113,2.228571,true,32,15.000000,,,,10,,0
1,2,true,19,18.000000,true,69,0.818421,true,15143,9.095333,true,199.77890014648438,0.091914,true,0.8720999956130981,0.082000,true,400,21.222222,true,111,2.171429,true,34,16.000000,,,,11,,0
1,3,true,34,33.000000,true,58,0.834286,true,16384,9.922667,true,202.66419982910156,0.078799,true,0.8715999722480774,0.082526,true,283,14.722222,true,64,0.828571,true,39,18.500000,,,,13,,0
2,1,true,24,23.000000,true,591,0.824629,true,17376,10.584000,true,199.17120361328125,0.094676,true,0.8758999705314636,0.078000,true,310,16.222222,true,111,2.171429,true,30,14.000000,,,,12,,0
2,2,true,24,23.000000,true,70,0.794118,true,17326,10.550667,true,203.08180236816406,0.076901,true,0.8743000030517578,0.079684,true,339,17.833333,true,114,2.257143,true,35,16.500000,,,,10,,0
2,3,true,28,27.000000,true,69,0.790909,true,16861,10.240667,true,208.1894989013672,0.053684,true,0.8711000084877014,0.083053,true,308,16.111111,true,90,1.571429,true,48,23.000000,,,,11,,0
3,1,true,27,26.000000,true,50,0.852941,true,17566,10.710667,true,198.50450134277344,0.097707,true,0.8748000264167786,0.079158,true,451,24.055556,true,117,2.342857,true,37,17.500000,,,,12,,0
3,2,true,27,26.000000,true,58,0.843243,true,17488,10.658667,true,204.7052001953125,0.069522,true,0.8711000084877014,0.083053,true,314,16.444444,true,99,1.828571,true,34,16.000000,,,,12,,0
3,3,true,31,30.000000,true,58,0.829412,true,16314,9.876000,true,205.5059051513672,0.065882,true,0.8690999746322632,0.085158,true,319,16.722222,true,100,1.857143,true,42,20.000000,,,,10,,0
4,1,true,21,20.000000,true,563,0.832440,true,16822,10.214667,true,200.63470458984375,0.088024,true,0.8722000122070313,0.081895,true,399,21.166667,true,112,2.200000,true,28,13.000000,,,,11,,0
4,2,true,27,26.000000,true,67,0.783871,true,17324,10.549333,true,197.45779418945313,0.102465,true,0.8719000220298767,0.082211,true,325,17.055556,true,52,0.485714,true,32,15.000000,,,,12,,0
4,3,false,0,-1.000000,true,67,0.790625,false,0,-1.000000,true,215.58340454101563,0.020075,true,0.8734999895095825,0.080526,true,368,19.444444,true,100,1.857143,false,0,-1.000000,7690,grazers,eaten,1,8816,0
5,1,true,18,17.000000,true,55,0.833333,true,15771,9.514000,true,200.4969024658203,0.088650,true,0.8737999796867371,0.080211,true,300,15.666667,true,111,2.171429,true,36,17.000000,,,,14,,0
5,2,true,31,30.000000,true,68,0.811111,true,16696,10.130667,true,202.6096954345703,0.079047,true,0.867900013923645,0.086421,true,421,22.388889,true,117,2.342857,true,56,27.000000,,,,9,,0
5,3,true,32,31.000000,true,72,0.781818,true,16952,10.301333,true,200.53689575195313,0.088469,true,0.8725000023841858,0.081579,true,403,21.388889,true,129,2.685714,true,255,24.500000,,,,8,,0
