rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,22,21.000000,true,579,0.822393,true,17080,10.386667,true,218.97360229492188,0.004665,true,0.887499988079071,0.065789,true,348,18.333333,true,130,2.714286,true,29,13.500000,,,,13,,0
1,2,true,24,23.000000,true,562,0.816938,true,16868,10.245333,true,219.87379455566406,0.000574,true,0.8840000033378601,0.069474,true,330,17.333333,true,107,2.057143,true,32,15.000000,,,,14,,0
1,3,true,30,29.000000,true,60,0.828571,true,16347,9.898000,true,219.1717987060547,0.003765,true,0.8840000033378601,0.069474,true,359,18.944444,true,114,2.257143,true,48,23.000000,,,,8,,0
2,1,true,20,19.000000,true,57,0.827273,true,17117,10.411333,true,214.88999938964844,0.023227,true,0.885200023651123,0.068211,true,366,19.333333,true,149,3.257143,true,31,14.500000,,,,11,,0
2,2,true,26,25.000000,true,553,0.792884,true,16294,9.862667,true,219.664794921875,0.001524,true,0.8851000070571899,0.068316,true,352,18.555556,true,97,1.771429,true,32,15.000000,,,,13,,0
2,3,false,0,-1.000000,true,78,0.763636,true,2783,0.855333,false,224.9346923828125,-0.022430,true,0.8860999941825867,0.067263,true,315,16.500000,true,55,0.571429,false,0,-1.000000,9583,grazers,eaten,3,10834,0
3,1,true,22,21.000000,true,610,0.843990,true,16617,10.078000,true,213.14669799804688,0.031151,true,0.8863999843597412,0.066947,true,284,14.777778,true,68,0.942857,true,29,13.500000,,,,13,,0
3,2,true,25,24.000000,true,55,0.847222,true,16245,9.830000,true,217.3354034423828,0.012112,true,0.8848999738693237,0.068526,true,334,17.555556,true,84,1.400000,true,40,19.000000,,,,12,,0
3,3,true,32,31.000000,true,61,0.815152,true,17137,10.424667,true,218.52200317382813,0.006718,true,0.887499988079071,0.065789,true,329,17.277778,true,103,1.942857,true,41,19.500000,,,,14,,0
4,1,true,20,19.000000,true,563,0.831940,true,16337,9.891333,true,217.4259033203125,0.011700,true,0.8863999843597412,0.066947,true,333,17.500000,true,109,2.114286,true,34,16.000000,,,,15,,0
4,2,true,25,24.000000,true,55,0.822581,true,17443,10.628667,false,222.8278045654297,-0.012854,true,0.8824999928474426,0.071053,true,395,20.944444,true,84,1.400000,true,30,14.000000,,,,9,,0
4,3,true,31,30.000000,true,61,0.825714,true,16353,9.902000,true,219.50050354003906,0.002270,true,0.8826000094413757,0.070947,true,360,19.000000,true,91,1.600000,true,235,22.500000,,,,8,,0
5,1,true,24,23.000000,true,50,0.833333,true,17242,10.494667,true,219.14920043945313,0.003867,true,0.8859000205993652,0.067474,true,396,21.000000,true,88,1.514286,true,32,15.000000,,,,12,,0
5,2,false,0,-1.000000,true,591,0.792632,false,0,-1.000000,false,225.12680053710938,-0.023304,true,0.8863999843597412,0.066947,true,285,14.833333,true,89,1.542857,false,0,-1.000000,8125,grazers,eaten,1,9306,0
5,3,true,27,26.000000,true,69,0.797059,true,16340,9.893333,false,220.72079467773438,-0.003276,true,0.8865000009536743,0.066842,true,348,18.333333,true,98,1.800000,true,36,17.000000,,,,10,,0
