rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,24,23.000000,true,609,0.817665,true,13765,8.176667,false,222.1002960205078,-0.009547,true,0.8798999786376953,0.073789,true,489,26.166667,true,399,10.400000,true,38,18.000000,,,,10,,0
1,2,true,25,24.000000,true,612,0.789691,true,17872,10.914667,false,220.3759002685547,-0.001709,true,0.8787999749183655,0.074947,true,491,26.277778,true,390,10.142857,true,36,17.000000,,,,13,,0
1,3,false,0,-1.000000,true,70,0.800000,true,6247,3.164667,false,231.73980712890625,-0.053363,true,0.8790000081062317,0.074737,true,480,25.666667,true,404,10.542857,true,83,7.300000,11697,grazers,eaten,3,12905,0
2,1,false,0,-1.000000,true,75,0.797297,false,0,-1.000000,false,231.53370666503906,-0.052426,true,0.880299985408783,0.073368,true,498,26.666667,true,387,10.057143,false,0,-1.000000,9814,grazers,eaten,1,11078,0
2,2,true,26,25.000000,true,77,0.773529,true,14913,8.942000,false,224.78179931640625,-0.021735,true,0.8790000081062317,0.074737,true,494,26.444444,true,440,11.571429,true,36,17.000000,,,,8,,0
2,3,true,33,32.000000,true,67,0.796970,true,16320,9.880000,false,225.20480346679688,-0.023658,true,0.879800021648407,0.073895,true,473,25.277778,true,379,9.828571,true,46,22.000000,,,,7,,0
3,1,true,24,23.000000,true,626,0.848058,true,14291,8.527333,false,220.71600341796875,-0.003255,true,0.8790000081062317,0.074737,true,530,28.444444,true,439,11.542857,true,32,15.000000,,,,11,,0
3,2,true,27,26.000000,true,60,0.837838,true,13502,8.001333,false,221.65530395507813,-0.007524,true,0.8794999718666077,0.074211,true,471,25.166667,true,423,11.085714,true,34,16.000000,,,,11,,0
3,3,true,33,32.000000,true,63,0.814706,true,17275,10.516667,false,222.3292999267578,-0.010588,true,0.8762000203132629,0.077684,true,467,24.944444,true,406,10.600000,true,42,20.000000,,,,10,,0
4,1,true,23,22.000000,true,58,0.818750,true,16433,9.955333,false,220.27780151367188,-0.001263,true,0.8805999755859375,0.073053,true,512,27.444444,true,391,10.171429,true,26,12.000000,,,,11,,0
4,2,true,28,27.000000,true,68,0.787500,true,17015,10.343333,false,223.3258056640625,-0.015117,true,0.8799999952316284,0.073684,true,500,26.777778,true,415,10.857143,true,40,19.000000,,,,15,,0
4,3,false,0,-1.000000,true,70,0.800000,false,0,-1.000000,false,234.7198944091797,-0.066909,true,0.8791999816894531,0.074526,true,476,25.444444,true,376,9.742857,false,0,-1.000000,6714,grazers,eaten,1,7974,0
5,1,true,25,24.000000,true,65,0.824324,true,16671,10.114000,false,221.5482940673828,-0.007038,true,0.8805000185966492,0.073158,true,504,27.000000,true,411,10.742857,true,30,14.000000,,,,10,,0
5,2,false,0,-1.000000,true,602,0.777037,false,0,-1.000000,false,231.9282989501953,-0.054220,true,0.8788999915122986,0.074842,true,485,25.944444,true,340,8.714286,false,0,-1.000000,8854,grazers,eaten,1,10075,0
5,3,false,0,-1.000000,true,72,0.788235,true,2239,0.492667,false,232.2908935546875,-0.055868,true,0.8804000020027161,0.073263,true,478,25.555556,true,394,10.257143,true,63,5.300000,11971,grazers,eaten,2,13143,0
